artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
Nio Garcia,36,3.500623702E9,3,35,34,0.8176106146587524,0.18437253712521418,0.3462085252103579,0.6187220664014083
Becky G,42,3.452563065E9,4,43,63,0.7958458338132016,0.12830602902222743,0.23369644852009724,0.6747155505009769
Marília Mendonça,106,3.436617725E9,5,62,4,0.6733443183584641,0.07462332245194055,0.3782090419192706,0.6198679206176486
Avicii,73,3.350271279E9,6,33,64,0.6300713260306444,0.052393680367006826,0.08990845048840612,0.43349732858970697
Anitta,80,3.327513255E9,14,76,59,0.7660193597711359,0.13825732958468986,0.16498687432179138,0.6793644026832404
Sia,69,3.295792448E9,3,51,69,0.5444070725203927,0.06986274980860127,0.09831565598352617,0.41136789909976673
Paulo Londra,31,3.268332164E9,4,24,31,0.7888670379184165,0.1755749960740731,0.23194110264184578,0.5618030030320245
Anne-Marie,25,3.226879615E9,2,23,65,0.6737501367570854,0.08771918138816509,0.13884850854329508,0.5757851304823496
Måneskin,37,3.110238238E9,5,17,69,0.6673853629241402,0.05793554445445361,0.08398174890672344,0.6881326945650121
6ix9ine,49,3.090940825E9,9,26,68,0.7411050421321321,0.2520141355364648,0.13198751763511007,0.4482132132956378
Bebe Rexha,37,3.086337155E9,0,32,67,0.6075282890703939,0.06384066502095799,0.07293330787455056,0.43885577958548133
Piso 21,38,3.011191997E9,3,28,37,0.7635130181916531,0.0995352437952255,0.16804424359234446,0.708448445706814
Polo G,52,2.939356535E9,1,15,52,0.7868035655487069,0.2885631685403828,0.28052531163271954,0.36444978597299943
Kodak Black,40,2.920858141E9,1,25,57,0.7878316018361925,0.1600815945880651,0.040335882580333354,0.4281789852621392
ZAYN,29,2.920233922E9,4,20,67,0.5253786616553033,0.05417870621512705,0.11693934729541222,0.16266174829510247
BLACKPINK,38,2.901376377E9,7,20,69,0.723293502051984,0.1291099343365254,0.07836417523939826,0.5194692476060179
Bradley Cooper,10,2.898305254E9,1,3,65,0.567521439891331,0.030978537468870134,0.3877371961512338,0.32173882725832004
24kGoldn,12,2.865408746E9,1,11,68,0.7035514344389789,0.049579171074739976,0.18261496359449905,0.7234407866077512
Zion & Lennox,64,2.768278644E9,5,67,40,0.7539196888563214,0.08667434642917517,0.12369511865171069,0.6592448565469803
5 Seconds of Summer,38,2.704842161E9,2,25,64,0.5919707197038104,0.3016388725844312,0.06366538287881543,0.30450787881524183
Tainy,22,2.657328078E9,4,23,33,0.672702855794195,0.2085636918810477,0.30575861281567124,0.42165096176539957
SAINt JHN,12,2.646932836E9,1,10,67,0.7713868238913126,0.051449259805177984,0.016035852986413777,0.8787636823891314
Tiësto,31,2.622551822E9,1,30,69,0.7523188670400459,0.1224555550072783,0.3060182913572323,0.4892777182897055
Charlie Puth,29,2.60476879E9,1,21,64,0.762572875585667,0.08661801496612392,0.30304783260862295,0.620560673475576
Logic,95,2.582200288E9,2,28,66,0.6694536230726222,0.11421775185747392,0.348301966924982,0.4616128345450183
Jonas Brothers,27,2.578146585E9,1,16,68,0.8102184111237131,0.06296375029682585,0.048456171420279255,0.811078652278306
Jonas Blue,27,2.568485711E9,0,27,61,0.6766194600374232,0.04245044462264989,0.22413440220974767,0.6162294395437938
Shakira,28,2.554900861E9,2,24,61,0.7882031683471388,0.1144781927411176,0.2126698968756575,0.8141985765396877
Christian Nodal,36,2.533768396E9,2,24,19,0.632348080279232,0.03832080570098901,0.3780069953461313,0.6996979784758569
Tyga,41,2.507623347E9,4,40,67,0.8368049397313364,0.16595628140703506,0.08685135678391942,0.4390059447564629
Reik,35,2.501102649E9,1,34,30,0.6875314744343742,0.09502256002214074,0.16419413173735556,0.5829084342351063
Bastille,28,2.485241167E9,1,25,67,0.6786601500733171,0.04691590432107667,0.19245029957163104,0.6519867463990998
Capital Bra,170,2.473712708E9,37,89,6,0.7058861408970372,0.27086649371613053,0.34038296984895666,0.5192561022714176
MEDUZA,7,2.459632778E9,2,7,62,0.6367021322247575,0.037256167359527914,0.08022971168030038,0.5304562692771889
Adele,36,2.45548834E9,2,8,69,0.5385240713031034,0.048439255741331094,0.41478934487020974,0.3321482727213572
Feid,77,2.426758299E9,7,47,23,0.7172444861345384,0.21576516214469235,0.33599356623732823,0.6762366618845683
DJ Luian,22,2.423691818E9,5,23,33,0.8023081382032193,0.10817451768063857,0.3611840953538773,0.547951283542117
Mambo Kingz,21,2.42331438E9,5,22,33,0.8027154705394502,0.10787042474721635,0.36105393954366616,0.5480443805255066
Bazzi,20,2.394469807E9,1,18,64,0.7252829217802746,0.050813559071417894,0.21273190063581263,0.497949549016709
Arcangel,132,2.37950646E9,3,91,25,0.792070973555826,0.18126239810240014,0.29086252032772997,0.6036429466662517
A Boogie Wit da Hoodie,63,2.36672537E9,0,32,58,0.7070265503389395,0.16772361913130798,0.21654426311825214,0.5149670474516701
Demi Lovato,34,2.352126793E9,1,24,69,0.681193935876976,0.12021352966777892,0.0676828969969533,0.6404621442042634
benny blanco,10,2.314262549E9,2,9,65,0.6083400891375788,0.2644900614854075,0.4766598262793207,0.39565021633755165
Danny Ocean,25,2.258958582E9,1,22,42,0.751607560467725,0.11070909107088836,0.1161760109989852,0.47549579084129673
French Montana,41,2.251421018E9,1,36,64,0.7246399423907814,0.12540729373842666,0.0547185968040599,0.6717716891845565
Zé Neto & Cristiano,59,2.200870465E9,2,32,4,0.5979799402475465,0.10705823303457108,0.5070086726419119,0.5985986342296208
Lil Mosey,14,2.176412357E9,0,14,66,0.7622526329763704,0.045175798743251436,0.259572546243031,0.39667948491016863
Joel Corry,7,2.155672616E9,1,7,51,0.7252504668869424,0.05584184025283706,0.11069209524493578,0.8212799885073954
Henrique & Juliano,76,2.146464692E9,3,49,4,0.59308892727871,0.0763019085225403,0.47363466600855536,0.6177596248766037
Alan Walker,56,2.128932925E9,6,49,67,0.5788585849280089,0.05671366771077354,0.13335535942723276,0.3134300255323623
Chris Brown,44,2.124968433E9,2,37,67,0.6929233806292402,0.12422602920008208,0.21472572444992824,0.4249793049557886
Miley Cyrus,40,2.107924049E9,1,19,69,0.6638193354997773,0.04435317962796957,0.03446142472545951,0.4301552835051546
Lunay,38,2.099418505E9,2,33,29,0.726133031264159,0.07409250203896678,0.30478124694154907,0.7441276483914805
Alessia Cara,25,2.091907408E9,1,24,65,0.5387548992117647,0.15151137801040593,0.3187695220737137,0.3465818300775766
Black Eyed Peas,17,2.071800584E9,2,20,67,0.8084830992173353,0.08839715301274804,0.10358810519840056,0.5494529204689155
